time,accident num,accident type,holiday,percipitation,visibility,wind,wind direction,fog,rain,sun rise,sun set
1/1/2011 0:00,1,A1,1,0,10,16.11,130,0,0,0,0
1/1/2011 4:00,0,NONE,1,0,10,16.11,130,0,0,1,0
1/1/2011 8:00,1,A1,1,0,10,18.41,140,0,0,0,0
1/1/2011 12:00,0,NONE,1,0,10,16.11,150,0,0,0,0
1/1/2011 16:00,0,NONE,1,0,10,11.5,140,0,0,0,1
1/1/2011 20:00,0,NONE,1,0,10,12.66,130,0,0,0,0
2/1/2011 0:00,0,NONE,0,0,10,10.36,140,0,0,0,0
2/1/2011 4:00,0,NONE,0,0,10,6.91,150,0,0,1,0
2/1/2011 8:00,0,NONE,0,0,10,13.8,130,0,0,0,0
2/1/2011 12:00,0,NONE,0,0,10,13.8,150,0,0,0,0
2/1/2011 16:00,0,NONE,0,0,10,10.36,160,0,0,0,1
2/1/2011 20:00,0,NONE,0,0,10,3.44,230,0,0,0,0
3/1/2011 0:00,0,NONE,0,0,10,0,0,0,0,0,0
3/1/2011 4:00,0,NONE,0,0,10,9.22,350,0,0,1,0
3/1/2011 8:00,0,NONE,0,0,10,10.36,320,0,0,0,0
3/1/2011 12:00,0,NONE,0,0.001,9,10.36,50,0,0,0,0
3/1/2011 16:00,0,NONE,0,0,10,11.5,40,0,0,0,1
3/1/2011 20:00,1,A1,0,0,8,8.05,10,0,1,0,0
4/1/2011 0:00,0,NONE,0,0.001,10,8.05,100,0,0,0,0
4/1/2011 4:00,0,NONE,0,0,10,4.61,60,0,0,1,0
4/1/2011 8:00,0,NONE,0,0,10,8.05,120,0,0,0,0
4/1/2011 12:00,1,A1,0,0,10,10.36,120,0,0,0,0
4/1/2011 16:00,0,NONE,0,0,10,6.91,160,0,0,0,1
4/1/2011 20:00,0,NONE,0,0,10,3.44,190,0,0,0,0
5/1/2011 0:00,0,NONE,0,0,9,4.61,270,0,1,0,0
5/1/2011 4:00,0,NONE,0,0,7,3.44,300,0,0,1,0
5/1/2011 8:00,0,NONE,0,0.001,10,12.66,170,0,0,0,0
5/1/2011 12:00,0,NONE,0,0,10,12.66,210,0,0,0,0
5/1/2011 16:00,0,NONE,0,0,10,9.22,190,0,0,0,1
5/1/2011 20:00,0,NONE,0,0,10,5.75,210,0,0,0,0
6/1/2011 0:00,0,NONE,0,0,10,6.91,240,0,0,0,0
6/1/2011 4:00,0,NONE,0,0,10,9.22,230,0,0,1,0
6/1/2011 8:00,0,NONE,0,0,10,11.5,240,0,0,0,0
6/1/2011 12:00,0,NONE,0,0,10,16.11,250,0,0,0,0
6/1/2011 16:00,0,NONE,0,0,6,19.57,300,0,1,0,1
6/1/2011 20:00,0,NONE,0,0.001,10,17.27,300,0,0,0,0
7/1/2011 0:00,0,NONE,0,0,10,14.97,290,0,0,0,0
7/1/2011 4:00,0,NONE,0,0,10,8.05,310,0,0,1,0
7/1/2011 8:00,1,A1,0,0,10,12.66,350,0,0,0,0
7/1/2011 12:00,0,NONE,0,0,10,13.8,270,0,0,0,0
7/1/2011 16:00,0,NONE,0,0,10,11.5,260,0,0,0,1
7/1/2011 20:00,0,NONE,0,0,10,8.05,230,0,0,0,0
8/1/2011 0:00,0,NONE,0,0,10,6.91,210,0,0,0,0
8/1/2011 4:00,1,A1,0,0,9,6.91,210,0,0,1,0
8/1/2011 8:00,0,NONE,0,0,10,13.8,300,0,0,0,0
8/1/2011 12:00,0,NONE,0,0,10,16.11,270,0,0,0,0
